label,id,value
gamma-hexachlorocyclohexane,617,gamma-hexachlorocyclohexane
oxychlordane,618,oxychlordane
nitrobenzene,619,nitrobenzene
benzophenone,620,benzophenone
methyl tearate,621,methyl tearate
"2,4,6-trichlorophenol",622,"2,4,6-trichlorophenol"
"2,4-dimethylphenol",623,"2,4-dimethylphenol"
2-chlorophenol,624,2-chlorophenol
2-nitrophenol,625,2-nitrophenol
"4,6-dinitro-o-cresol",626,"4,6-dinitro-o-cresol"
4-chloro-m-cresol,627,4-chloro-m-cresol
4-nitrophenol,628,4-nitrophenol
phenol,629,phenol
"2,4-dichlorophenol-d3",630,"2,4-dichlorophenol-d3"
2-nitrophenol-d4,631,2-nitrophenol-d4
benzene-d6,632,benzene-d6
carbon tetrachloride-13C,633,carbon tetrachloride-13C
chlorobenzene-d5,634,chlorobenzene-d5
nitrobenzene-d5,635,nitrobenzene-d5
phenol-d5,636,phenol-d5
xylene,637,xylene
hexane,638,hexane
ethylene,639,ethylene
chloromethane,640,chloromethane
vinyl chloride,641,vinyl chloride
chloroethane,642,chloroethane
"1,1-dichloroethane",643,"1,1-dichloroethane"
"1,3-dichlorobenzene",644,"1,3-dichlorobenzene"
"1,2,4-trichlorobenzene",645,"1,2,4-trichlorobenzene"
"hexachloro-1,3-butadiene",646,"hexachloro-1,3-butadiene"
bromobenzene,647,bromobenzene
bromomethane,648,bromomethane
acetonitrile,649,acetonitrile
acrylonitrile,650,acrylonitrile
ethylene oxide,651,ethylene oxide
propylene oxide,652,propylene oxide
pentafluoroethane,653,pentafluoroethane
isoprene,654,isoprene
propylbenzene,655,propylbenzene
tetrafluoromethane,656,tetrafluoromethane
hexafluoroethane,657,hexafluoroethane
2-propanol,658,2-propanol
n-butanol,659,n-butanol
vinyl acetate,660,vinyl acetate
ethyl acetate,661,ethyl acetate
tert-butyl formate,662,tert-butyl formate
tert-butyl ethyl ether,663,tert-butyl ethyl ether
tert-amyl methyl ether,664,tert-amyl methyl ether
benzyl chloride,665,benzyl chloride
4-ethyltoluene,666,4-ethyltoluene
alpha-pinene,667,alpha-pinene
sulfur hexafluoride,668,sulfur hexafluoride
2-methyl-2-butene,669,2-methyl-2-butene
"2,3-dimethylbutane",670,"2,3-dimethylbutane"
"2,2,3-trimethylbutane",671,"2,2,3-trimethylbutane"
3-methylhexane,672,3-methylhexane
3-methylheptane,673,3-methylheptane
methylcyclopentane,674,methylcyclopentane
methylcyclohexane,675,methylcyclohexane
"2,2-dimethylhexane",676,"2,2-dimethylhexane"
undecane,677,undecane
dodecane,678,dodecane
tridecane,679,tridecane
tetradecane,680,tetradecane
pentadecane,681,pentadecane
hexadecane,682,hexadecane
difluorochloromethane (HCFC-22),683,difluorochloromethane (HCFC-22)
"1,2-dichlorotetrafluoroethane (CFC-114)",684,"1,2-dichlorotetrafluoroethane (CFC-114)"
dichlorodifluoromethane (CFC-12),685,dichlorodifluoromethane (CFC-12)
"1,1,2-trichlorotrifluoroethane (CFC-113)",686,"1,1,2-trichlorotrifluoroethane (CFC-113)"
"1-chloro-1,1-difluoroethane (HCFC-142b)",687,"1-chloro-1,1-difluoroethane (HCFC-142b)"
"1,1,1,2-tetrafluoroethane (HFC-134a)",688,"1,1,1,2-tetrafluoroethane (HFC-134a)"
higher hydrocarbons,689,higher hydrocarbons
nitrogen oxides,690,nitrogen oxides
butanol,691,butanol
acrolein,692,acrolein
hexanal,693,hexanal
decanal,694,decanal
furfural,695,furfural
cyclohexanone,696,cyclohexanone
neon,697,neon
krypton,698,krypton
i-butene,699,i-butene
2-butanone,700,2-butanone
halothane,701,halothane
n-propanol,702,n-propanol
methylmercaptan,703,methylmercaptan
ethyl mercaptan,704,ethyl mercaptan
total nitrogen oxides,705,total nitrogen oxides
xenon,706,xenon
acetylene,707,acetylene
carbon tetrafluoride,708,carbon tetrafluoride
trifluoromethane,709,trifluoromethane
nitrogen trifluoride,710,nitrogen trifluoride
dimethyl disulfide,711,dimethyl disulfide
diethyl disulfide,712,diethyl disulfide
2-butanethiol,713,2-butanethiol
domoic acid (DA) and epi-domoic acid (epi-DA),714,domoic acid (DA) and epi-domoic acid (epi-DA)
"azaspiracids (AZA1, AZA2, AZA3)",715,"azaspiracids (AZA1, AZA2, AZA3)"
ethosuximide,716,ethosuximide
phenobarbital,717,phenobarbital
phenytoin,718,phenytoin
primidone,719,primidone
total glycerides,720,total glycerides
triglycerides,721,triglycerides
alpha-tocopherol,722,alpha-tocopherol
beta-carotene,723,beta-carotene
delta-tocopherol,724,delta-tocopherol
gamma-tocopherol,725,gamma-tocopherol
trans-beta-carotene,726,trans-beta-carotene
trans-retinol,727,trans-retinol
PCB 149,728,PCB 149
PCB 151,729,PCB 151
PCB 156,730,PCB 156
PCB 183,731,PCB 183
PCB 99,732,PCB 99
total protein,733,total protein
benzoylecgonine,734,benzoylecgonine
cocaine,735,cocaine
codeine,736,codeine
morphine,737,morphine
phencyclidine,738,phencyclidine
trans-chlordane,739,trans-chlordane
benzo[b]chrysene,740,benzo[b]chrysene
picene,741,picene
triphenylene,742,triphenylene
PCB 110,743,PCB 110
PCB 31,744,PCB 31
PCB 49,745,PCB 49
PCB 95,746,PCB 95
methylmercury (as mercury),747,methylmercury (as mercury)
6-monoacetylmorphine,748,6-monoacetylmorphine
amphetamine,749,amphetamine
cocaethylene,750,cocaethylene
methamphetamine,751,methamphetamine
epitestosterone,752,epitestosterone
androsterone,753,androsterone
etiocholanolone,754,etiocholanolone
17-epimethandienone,755,17-epimethandienone
3'-hydroxystanozolol,756,3'-hydroxystanozolol
testosterone glucuronide (Na salt),757,testosterone glucuronide (Na salt)
epitestosterone glucuronide,758,epitestosterone glucuronide
acetyl codeine,759,acetyl codeine
methamphetamine hydrochloride,760,methamphetamine hydrochloride
6-monoacetyl morphine,761,6-monoacetyl morphine
methandienone,762,methandienone
17alpha-trenbolone,763,17alpha-trenbolone
megestrol,764,megestrol
melengesterol,765,melengesterol
heroin,766,heroin
"N-methyl-3,4-methylenedioxy methamphetamine hydrochloride (MDMA.HCl)",767,"N-methyl-3,4-methylenedioxy methamphetamine hydrochloride (MDMA.HCl)"
methylenedioxyamphetamine hydrochloride (MDA.HCl),768,methylenedioxyamphetamine hydrochloride (MDA.HCl)
dibromo-DDE,769,dibromo-DDE
fipronil,770,fipronil
(±)-Amphetamine hydrochloride,771,(±)-Amphetamine hydrochloride
(±)-Amphetamine sulphate,772,(±)-Amphetamine sulphate
d-(+)-Amphetamine sulfate,773,d-(+)-Amphetamine sulfate
"(±)-4-Bromo-2,5-dimethoxyamphetamine hydrochloride (DOB)",774,"(±)-4-Bromo-2,5-dimethoxyamphetamine hydrochloride (DOB)"
clobenzorex hydrochloride,775,clobenzorex hydrochloride
"(±)-2,5-Dimethoxyamphetamine hydrochloride",776,"(±)-2,5-Dimethoxyamphetamine hydrochloride"
"(±)-2,5-Dimethoxy-4-methylamphetamine hydrochloride (DOM)",777,"(±)-2,5-Dimethoxy-4-methylamphetamine hydrochloride (DOM)"
"(±)-3,4-Dimethoxyamphetamine hydrochloride",778,"(±)-3,4-Dimethoxyamphetamine hydrochloride"
"(±)-N,N-Dimethylamphetamine hydrochloride",779,"(±)-N,N-Dimethylamphetamine hydrochloride"
"(±)-N,N-Dimethyl-3,4-methylenedioxyamphetamine hydrochloride",780,"(±)-N,N-Dimethyl-3,4-methylenedioxyamphetamine hydrochloride"
(±)-N-Ethylamphetamine hydrochloride,781,(±)-N-Ethylamphetamine hydrochloride
"(±)-N-Ethyl-3,4-methylenedioxyamphetamine hydrochloride (MDEA)",782,"(±)-N-Ethyl-3,4-methylenedioxyamphetamine hydrochloride (MDEA)"
fenproporex hydrochloride,783,fenproporex hydrochloride
(±)-3-Fluoroamphetamine hydrochloride,784,(±)-3-Fluoroamphetamine hydrochloride
(±)-2-Fluoromethamphetamine hydrochloride,785,(±)-2-Fluoromethamphetamine hydrochloride
(±)-3-Fluoromethamphetamine hydrochloride,786,(±)-3-Fluoromethamphetamine hydrochloride
(±)-4-Hydroxyamphetamine hydrochloride (HMA),787,(±)-4-Hydroxyamphetamine hydrochloride (HMA)
(±)-4-Methoxyamphetamine hydrochloride (PMA),788,(±)-4-Methoxyamphetamine hydrochloride (PMA)
(±)-4-Methoxymethamphetamine hydrochloride (PMMA),789,(±)-4-Methoxymethamphetamine hydrochloride (PMMA)
(±)-4-Methylamphetamine hydrochloride,790,(±)-4-Methylamphetamine hydrochloride
(±)-4-Methylmethamphetamine hydrochloride,791,(±)-4-Methylmethamphetamine hydrochloride
"(±)-N-Propyl-3,4-methylenedioxyamphetamine hydrochloride",792,"(±)-N-Propyl-3,4-methylenedioxyamphetamine hydrochloride"
selegiline hydrochloride,793,selegiline hydrochloride
"(±)-3,4,5-Trimethoxyamphetamine hydrochloride (TMA)",794,"(±)-3,4,5-Trimethoxyamphetamine hydrochloride (TMA)"
cathine hydrochloride,795,cathine hydrochloride
buprenorphine,796,buprenorphine
caffeine,797,caffeine
methylcodeine,798,methylcodeine
pholcodine,799,pholcodine
AM 2201,800,AM 2201
etomidate,801,etomidate
fentanyl,802,fentanyl
flunitrazepam,803,flunitrazepam
1-Pentyl-3-(1-naphthoyl)indole,804,1-Pentyl-3-(1-naphthoyl)indole
4-Ethylnaphthalen-1-yl-(1-pentylindol-3-yl)methanone,805,4-Ethylnaphthalen-1-yl-(1-pentylindol-3-yl)methanone
5-Methoxy-a-methyltryptamine,806,5-Methoxy-a-methyltryptamine
"androstan-4,6-diene-17b-ol-3-one",807,"androstan-4,6-diene-17b-ol-3-one"
"5a-Androstan-3a,17b-diol-17-O-b-glucuronic acid",808,"5a-Androstan-3a,17b-diol-17-O-b-glucuronic acid"
"5a-Androstan-3a,17b-diol-3-O-b-glucuronic acid",809,"5a-Androstan-3a,17b-diol-3-O-b-glucuronic acid"
"5b-Androstan-3a,17b-diol-17-O-b-glucuronic acid",810,"5b-Androstan-3a,17b-diol-17-O-b-glucuronic acid"
"5b-Androstan-3a,17b-diol-3-O-b-glucuronic acid",811,"5b-Androstan-3a,17b-diol-3-O-b-glucuronic acid"
dehydro epiandrosterone,812,dehydro epiandrosterone
CIR of organic chemicals with molecular weight below 1000 g/mol,813,CIR of organic chemicals with molecular weight below 1000 g/mol
beta-HCH,814,beta-HCH
delta-HCH,815,delta-HCH
tartrazine,816,tartrazine
sunset yellow,817,sunset yellow
tsumacide,818,tsumacide
carbaryl,819,carbaryl
isoprocard,820,isoprocard
isotope ratio of 144Sm/152Sm,821,isotope ratio of 144Sm/152Sm
isotope ratio of 147Sm/152Sm,822,isotope ratio of 147Sm/152Sm
isotope ratio of 148Sm/152Sm,823,isotope ratio of 148Sm/152Sm
isotope ratio of 149Sm/152Sm,824,isotope ratio of 149Sm/152Sm
isotope ratio of 150Sm/152Sm,825,isotope ratio of 150Sm/152Sm
isotope ratio of 154Sm/152Sm,826,isotope ratio of 154Sm/152Sm
isotope ratio of 64Zn/66Zn,827,isotope ratio of 64Zn/66Zn
isotope ratio of 67Zn/66Zn,828,isotope ratio of 67Zn/66Zn
isotope ratio of 68Zn/66Zn,829,isotope ratio of 68Zn/66Zn
isotope ratio of 70Zn/66Zn,830,isotope ratio of 70Zn/66Zn
isotope ratio of 142Nd/144Nd,831,isotope ratio of 142Nd/144Nd
isotope ratio of 143Nd/144Nd,832,isotope ratio of 143Nd/144Nd
isotope ratio of 145Nd/144Nd,833,isotope ratio of 145Nd/144Nd
isotope ratio of 146Nd/144Nd,834,isotope ratio of 146Nd/144Nd
isotope ratio of 148Nd/144Nd,835,isotope ratio of 148Nd/144Nd
isotope ratio of 150Nd/144Nd,836,isotope ratio of 150Nd/144Nd
isotope ratio of 121Sb/123Sb,837,isotope ratio of 121Sb/123Sb
isotope ratio of 136Ce/140Ce,838,isotope ratio of 136Ce/140Ce
isotope ratio of 138Ce/140Ce,839,isotope ratio of 138Ce/140Ce
isotope ratio of 142Ce/140Ce,840,isotope ratio of 142Ce/140Ce
isotope ratio of 156Dy/162Dy,841,isotope ratio of 156Dy/162Dy
isotope ratio of 158Dy/162Dy,842,isotope ratio of 158Dy/162Dy
isotope ratio of 160Dy/162Dy,843,isotope ratio of 160Dy/162Dy
isotope ratio of 161Dy/162Dy,844,isotope ratio of 161Dy/162Dy
isotope ratio of 163Dy/162Dy,845,isotope ratio of 163Dy/162Dy
isotope ratio of 164Dy/162Dy,846,isotope ratio of 164Dy/162Dy
isotope ratio of 162Er/166Er,847,isotope ratio of 162Er/166Er
isotope ratio of 164Er/166Er,848,isotope ratio of 164Er/166Er
isotope ratio of 167Er/166Er,849,isotope ratio of 167Er/166Er
isotope ratio of 168Er/166Er,850,isotope ratio of 168Er/166Er
isotope ratio of 170Er/166Er,851,isotope ratio of 170Er/166Er
isotope ratio of 151Eu/153Eu,852,isotope ratio of 151Eu/153Eu
monocrotophos,853,monocrotophos
isocarbophos,854,isocarbophos
fenamiphos,855,fenamiphos
methomyl,856,methomyl
amitraz,857,amitraz
buprofezine,858,buprofezine
bifenthrin,859,bifenthrin
permethrin,860,permethrin
paclobutrazol,861,paclobutrazol
nitrofen,862,nitrofen
prometryn,863,prometryn
"2,4-D butylate",864,"2,4-D butylate"
quintozene,865,quintozene
triadimefon,866,triadimefon
chlorothalonil,867,chlorothalonil
potassium acesulfame,868,potassium acesulfame
sodium cyclamate,869,sodium cyclamate
isotope ratio of 54Fe/56Fe,870,isotope ratio of 54Fe/56Fe
isotope ratio of 57Fe/56Fe,871,isotope ratio of 57Fe/56Fe
isotope ratio of 58Fe/56Fe,872,isotope ratio of 58Fe/56Fe
dipterex,873,dipterex
deltamethrin,874,deltamethrin
cypermethrin (total),875,cypermethrin (total)
methylhydroxybenzoate,876,methylhydroxybenzoate
ethyl hydroxybenzoate,877,ethyl hydroxybenzoate
n-propyl hydroxybenzoate,878,n-propyl hydroxybenzoate
iso-propyl hydroxybenzoate,879,iso-propyl hydroxybenzoate
n-butyl hydroxybenzoate,880,n-butyl hydroxybenzoate
calcium propionate,881,calcium propionate
sodium propionate,882,sodium propionate
methidathion,883,methidathion
fomesafen,884,fomesafen
diazion,885,diazion
parathion-methyl,886,parathion-methyl
endosulfan,887,endosulfan
acephate,888,acephate
trifluralin,889,trifluralin
cyromazine,890,cyromazine
tricyclazole,891,tricyclazole
thiabendazole,892,thiabendazole
procymidone,893,procymidone
tebuconazole,894,tebuconazole
triadimenol,895,triadimenol
chlorotoluron,896,chlorotoluron
diniconazole,897,diniconazole
pendimethalin,898,pendimethalin
imazalil,899,imazalil
iprodione,900,iprodione
esfenvalerate,901,esfenvalerate
pirimicarb,902,pirimicarb
oxadiazon,903,oxadiazon
paraquat,904,paraquat
diflubenzuron,905,diflubenzuron
phorate,906,phorate
chlorbenzuron,907,chlorbenzuron
phoxim,908,phoxim
diquat,909,diquat
fluroxypyr,910,fluroxypyr
cartap,911,cartap
alachlor,912,alachlor
diphenylamine,913,diphenylamine
acifluorfene,914,acifluorfene
clofentezine,915,clofentezine
chlorpyrifos-methyl,916,chlorpyrifos-methyl
"cytidine-5,-monophosphoric acid",917,"cytidine-5,-monophosphoric acid"
"guanosine-5,-monophosphoric acid disodium salt",918,"guanosine-5,-monophosphoric acid disodium salt"
"uridine-5,-monophosphoric acid disodium salt",919,"uridine-5,-monophosphoric acid disodium salt"
adenosine,920,adenosine
uridine,921,uridine
2’-deoxyadenosine-5’- monophosphate,922,2’-deoxyadenosine-5’- monophosphate
2'-deoxycytidine 5'-monophosphate,923,2'-deoxycytidine 5'-monophosphate
2'-deoxyguanosine 5'-monophosphate,924,2'-deoxyguanosine 5'-monophosphate
thymidine 5'-monophosphate,925,thymidine 5'-monophosphate
"adenosine 3',5'-cyclic monophosphate",926,"adenosine 3',5'-cyclic monophosphate"
disodium inosinate,927,disodium inosinate
5-methylcytidine,928,5-methylcytidine
glycitin,929,glycitin
ephedrine hydrochloride,930,ephedrine hydrochloride
rutin,931,rutin
thiamine hydrochloride,932,thiamine hydrochloride
oleanolic acid,933,oleanolic acid
ursolic acid,934,ursolic acid
4-methylumbelliferyl,935,4-methylumbelliferyl
glucose,936,glucose
galactose,937,galactose
xylose,938,xylose
crystal violet chloride,939,crystal violet chloride
leucocrystal violet,940,leucocrystal violet
furaltadone hydrochloride,941,furaltadone hydrochloride
cis-permethrin,942,cis-permethrin
trans-permethrin,943,trans-permethrin
lambda-cyhalothrin,944,lambda-cyhalothrin
triazophos,945,triazophos
etofenprox,946,etofenprox
pyrazosulfuron-ethyl,947,pyrazosulfuron-ethyl
isotope ratio of 78Se/76Se,948,isotope ratio of 78Se/76Se
isotope ratio of 80Se/76Se,949,isotope ratio of 80Se/76Se
isotope ratio of 82Se/76Se,950,isotope ratio of 82Se/76Se
isotope ratio of 74Se/76Se,951,isotope ratio of 74Se/76Se
isotope ratio of 77Se/76Se,952,isotope ratio of 77Se/76Se
ketamine hydrochloride,953,ketamine hydrochloride
pethidine hydrochloride,954,pethidine hydrochloride
cocaine hydrochloride,955,cocaine hydrochloride
methadone hydrochloride,956,methadone hydrochloride
diazepam,957,diazepam
estazolam,958,estazolam
heroin hydrochloride,959,heroin hydrochloride
3-Amino-5-morpholinomethyl-2-oxazolidinone (AMOZ),960,3-Amino-5-morpholinomethyl-2-oxazolidinone (AMOZ)
3-Amino-2-oxazolidinone (AOZ),961,3-Amino-2-oxazolidinone (AOZ)
oxidant expressed as potassium dichromate,962,oxidant expressed as potassium dichromate
nicotinamide,963,nicotinamide
pyridoxine hydrochloride,964,pyridoxine hydrochloride
niacin,965,niacin
vitamin D2,966,vitamin D2
vitamin D3,967,vitamin D3
melatonin,968,melatonin
adrenaline,969,adrenaline
sudan1,970,sudan1
R(-)-methamphetamine hydrochloride,971,R(-)-methamphetamine hydrochloride
codeine phosphate,972,codeine phosphate
triazolam,973,triazolam
morphine hydrochloride,974,morphine hydrochloride
i-butyl hydroxybenzoate,975,i-butyl hydroxybenzoate
theobromine,976,theobromine
complexing agent expressed as ethylenediaminetetraacetic acid disodium salt dihydrate,977,complexing agent expressed as ethylenediaminetetraacetic acid disodium salt dihydrate
reductant expressed as sodium oxalate,978,reductant expressed as sodium oxalate
complexometric calibrant which chelate complex with EDTA expressed as zinc oxide,979,complexometric calibrant which chelate complex with EDTA expressed as zinc oxide
furazolidone,980,furazolidone
furadantin,981,furadantin
dinitolmide,982,dinitolmide
trimethoprim,983,trimethoprim
isotope ratio of 168Yb/172Yb,984,isotope ratio of 168Yb/172Yb
isotope ratio of 170Yb/172Yb,985,isotope ratio of 170Yb/172Yb
isotope ratio of 171Yb/172Yb,986,isotope ratio of 171Yb/172Yb
isotope ratio of 173Yb/172Yb,987,isotope ratio of 173Yb/172Yb
isotope ratio of 174Yb/172Yb,988,isotope ratio of 174Yb/172Yb
isotope ratio of 176Yb/172Yb,989,isotope ratio of 176Yb/172Yb
1-aminohydantoin hydrochloride (AHD),990,1-aminohydantoin hydrochloride (AHD)
clenbuterol hydrochloride,991,clenbuterol hydrochloride
17alpha- hydroxyprogesterone,992,17alpha- hydroxyprogesterone
semicarbazide hydrochloride (SEM),993,semicarbazide hydrochloride (SEM)
ginsenoside Rg1,994,ginsenoside Rg1
paclitaxel,995,paclitaxel
emodin,996,emodin
"2,3,5-trimethylpyrazine",997,"2,3,5-trimethylpyrazine"
dicyanodiamide,998,dicyanodiamide
estradiol,999,estradiol
carbofuran,1000,carbofuran
ginsenoside Rb1,1001,ginsenoside Rb1
L-valine,1002,L-valine
L-leucine,1003,L-leucine
L-isoleucine,1004,L-isoleucine
L-phenylalanine,1005,L-phenylalanine
saccharin,1006,saccharin
acid expressed as hydrogen chloride,1007,acid expressed as hydrogen chloride
sulfate ion,1008,sulfate ion
cyanide ion,1009,cyanide ion
bromate,1010,bromate
phthalate expressed as mass fraction of carbon,1011,phthalate expressed as mass fraction of carbon
206Pb/204Pb,1012,206Pb/204Pb
207Pb/204Pb,1013,207Pb/204Pb
208Pb/204Pb,1014,208Pb/204Pb
208Pb/206Pb,1015,208Pb/206Pb
207Pb/206Pb,1016,207Pb/206Pb
isobutene,1017,isobutene
n-butene,1018,n-butene
"1,2-butadiene",1019,"1,2-butadiene"
deuterium,1020,deuterium
propylene,1021,propylene
total hydrocarbon,1022,total hydrocarbon
bromotrifluoromethane,1023,bromotrifluoromethane
chloroethylene,1024,chloroethylene
"1,2-dichloroethene",1025,"1,2-dichloroethene"
carbon tetrachloride,1026,carbon tetrachloride
trichlorofluoromethane (CFC-11),1027,trichlorofluoromethane (CFC-11)
chlorodifluoroethane (HCFC-22),1028,chlorodifluoroethane (HCFC-22)
nitric oxide,1029,nitric oxide
trimethylamine,1030,trimethylamine
a-pinene,1031,a-pinene
3-carene,1032,3-carene
R-limonene,1033,R-limonene
"1,8-cineole",1034,"1,8-cineole"
but-1-ene,1035,but-1-ene
hexavalent chromium,1036,hexavalent chromium
cholesterol (total),1037,cholesterol (total)
testosterone glucuronide (expressed as equivalents of the free steroid) in the reconstituted material,1038,testosterone glucuronide (expressed as equivalents of the free steroid) in the reconstituted material
epitestosterone glucuronide (expressed as equivalents of the free steroid) in the reconstituted material,1039,epitestosterone glucuronide (expressed as equivalents of the free steroid) in the reconstituted material
androsterone glucuronide (expressed as equivalents of the free steroid) in the reconstituted material,1040,androsterone glucuronide (expressed as equivalents of the free steroid) in the reconstituted material
etiocholanolone glucuronide (expressed as equivalents of the free steroid) in the reconstituted material,1041,etiocholanolone glucuronide (expressed as equivalents of the free steroid) in the reconstituted material
"sum of 5alpha-androstane-3alpha,17beta-diol glucuronides (expressed as equivalents of the free steroid) in the reconstituted material",1042,"sum of 5alpha-androstane-3alpha,17beta-diol glucuronides (expressed as equivalents of the free steroid) in the reconstituted material"
"sum of 5beta-androstane-3alpha,17beta-diol glucuronides (expressed as equivalents of the free steroid) in the reconstituted material",1043,"sum of 5beta-androstane-3alpha,17beta-diol glucuronides (expressed as equivalents of the free steroid) in the reconstituted material"
CIR of Steroids and steroid metabolites (5 - 5000 ng/g).,1044,CIR of Steroids and steroid metabolites (5 - 5000 ng/g).
isotope ratio of 234U/238U,1045,isotope ratio of 234U/238U
isotope ratio of 235U/238U,1046,isotope ratio of 235U/238U
isotope ratio of   236U/238U,1047,isotope ratio of   236U/238U
linearised DNA,1048,linearised DNA
testosterone glucuronide (expressed as equivalents of the free steroid),1049,testosterone glucuronide (expressed as equivalents of the free steroid)
chloride standard,1050,chloride standard
arsenic (total),1051,arsenic (total)
beta-chlordane,1052,beta-chlordane
copy number ratio of specified intact sequence fragments of 70 to 120 nucleotides length in a single genomic DNA extract,1053,copy number ratio of specified intact sequence fragments of 70 to 120 nucleotides length in a single genomic DNA extract
kresoxim-methyl,1054,kresoxim-methyl
fenpropathrin,1055,fenpropathrin
cypermethrin,1056,cypermethrin
cyfluthrin,1057,cyfluthrin
fenvalerate,1058,fenvalerate
tau-fluvalinate,1059,tau-fluvalinate
total  inorganic arsenic,1060,total  inorganic arsenic
dicofol,1061,dicofol
endosulfan I,1062,endosulfan I
endosulfan II,1063,endosulfan II
acesulfame,1064,acesulfame
specified intact sequence fragments of a length up to 150 nucleotides length in a single genomic DNA extract,1065,specified intact sequence fragments of a length up to 150 nucleotides length in a single genomic DNA extract
D-glucosamine,1066,D-glucosamine
methyl4-hydroxybenzoate,1067,methyl4-hydroxybenzoate
ethyl 4-hydroxybenzonate,1068,ethyl 4-hydroxybenzonate
propyl 4-hydroxybenzonate,1069,propyl 4-hydroxybenzonate
ibuprofen,1070,ibuprofen
acetaminophen,1071,acetaminophen
retinol,1072,retinol
nicotinic acid,1073,nicotinic acid
patulin,1074,patulin
thiamin,1075,thiamin
pantothenic acid,1076,pantothenic acid
pyridoxine,1077,pyridoxine
alpha-ocopherol,1078,alpha-ocopherol
cholecalciferol,1079,cholecalciferol
cis-phylloquinone,1080,cis-phylloquinone
trans-phylloquinone,1081,trans-phylloquinone
stearic acid,1082,stearic acid
oleic acid,1083,oleic acid
biotin,1084,biotin
linoleic acid,1085,linoleic acid
alpha-linolenic acid,1086,alpha-linolenic acid
gamma-linolenic acid,1087,gamma-linolenic acid
arachidonic acid,1088,arachidonic acid
eicosapentaenoic acid,1089,eicosapentaenoic acid
docosahexanoic cid,1090,docosahexanoic cid
inorganic Arsenic [As(III) + As(V)],1091,inorganic Arsenic [As(III) + As(V)]
dimethylarsenic acid,1092,dimethylarsenic acid
methylparabenxybenzoate,1093,methylparabenxybenzoate
malachite green,1094,malachite green
total malachite green,1095,total malachite green
total inorganic As (sum of As(III) and As(V)),1096,total inorganic As (sum of As(III) and As(V))
butyl4-hydroxybenzoate,1097,butyl4-hydroxybenzoate
CIR of 19-norandrosterone in 19-norandrosterone glucuronide solution (~200 ng/mL expressed as the free steroid),1098,CIR of 19-norandrosterone in 19-norandrosterone glucuronide solution (~200 ng/mL expressed as the free steroid)
saccharin sodium,1099,saccharin sodium
meta-xylene,1100,meta-xylene
para-xylene,1101,para-xylene
butylacetate,1102,butylacetate
PBDE-209,1103,PBDE-209
PBDE-47,1104,PBDE-47
PBDE-100,1105,PBDE-100
PBDE-99,1106,PBDE-99
PBDE-85,1107,PBDE-85
PBDE-153,1108,PBDE-153
PBDE-154,1109,PBDE-154
PBDE-183,1110,PBDE-183
PBDE-197,1111,PBDE-197
PBDE-203,1112,PBDE-203
PBDE-196,1113,PBDE-196
heptachlor-epoxide,1114,heptachlor-epoxide
"p,p’-DDD",1115,"p,p’-DDD"
"o,p’-DDT",1116,"o,p’-DDT"
isobutyl alcohol,1117,isobutyl alcohol
"purified peptides of known sequence up to a length of 20 amino acids. The peptide must contain minimum three AA out of the set: {L,I,V,P,F}",1118,"purified peptides of known sequence up to a length of 20 amino acids. The peptide must contain minimum three AA out of the set: {L,I,V,P,F}"
beta-phenyl ethanol,1119,beta-phenyl ethanol
ethyl propionate,1120,ethyl propionate
ethyl hexanoate,1121,ethyl hexanoate
hexabromobenzene,1122,hexabromobenzene
"phthalic acid,bis-butyl ester (DBP)",1123,"phthalic acid,bis-butyl ester (DBP)"
d-glucose,1124,d-glucose
total malachite green (sum of malachite green and leucomalachite green),1125,total malachite green (sum of malachite green and leucomalachite green)
MON810,1126,MON810
specified  intact  sequence segments of a length in the range of 60 to 150 nucleotides in a single genomic DNA extract,1127,specified  intact  sequence segments of a length in the range of 60 to 150 nucleotides in a single genomic DNA extract
total inorganic arsenic (As(III) + As(V)),1128,total inorganic arsenic (As(III) + As(V))
aluminium,1129,aluminium
"fenitrothion (O, O-dimethyl-O-4-nitro-m-tolyl phosphorothioate)",1130,"fenitrothion (O, O-dimethyl-O-4-nitro-m-tolyl phosphorothioate)"
etofenprox (2-(4-ethoxyphenyl)-2-methylpropyl 3-phenoxybenzyl ether),1131,etofenprox (2-(4-ethoxyphenyl)-2-methylpropyl 3-phenoxybenzyl ether)
arsenate expressed as arsenic,1132,arsenate expressed as arsenic
PCB28,1133,PCB28
PCB70,1134,PCB70
PCB105,1135,PCB105
PCB153,1136,PCB153
PCB170,1137,PCB170
"diazinon (O,O-diethyl O-2-isopropyl-6-methylpyrimidin-4-yl phosphorothioate)
",1138,"diazinon (O,O-diethyl O-2-isopropyl-6-methylpyrimidin-4-yl phosphorothioate)
"
"fenitrothion (O,O-dimethyl-O-4-nitro-m-tolyl phosphorothioate)",1139,"fenitrothion (O,O-dimethyl-O-4-nitro-m-tolyl phosphorothioate)"
"chlorpyrifos (O,O-diethyl O-3, 5, 6-trichloro-2-pyridyl phosphorothioate)",1140,"chlorpyrifos (O,O-diethyl O-3, 5, 6-trichloro-2-pyridyl phosphorothioate)"
arsenite expressed as arsenic,1141,arsenite expressed as arsenic
dimethylarsenic acid expressed as arsenic,1142,dimethylarsenic acid expressed as arsenic
arsenobetaine as arsenic,1143,arsenobetaine as arsenic
